title,price,area,location,property_type,publisher,details,main_image,carousel_images
Oficina en  Arriendo,"$ 78,795,800",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,8 Baños1050 m²,https://cdn2.infocasas.com.uy/repo/img/66e89f9239847_infocdn__f71e433e-ccee-4482-914b-4cc092c2f8e6,[]
Local en  Arriendo,"$ 23,950,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,SC FINCA RAÍZ,3 Baños251.87 m²,https://cdn2.infocasas.com.uy/repo/img/667c841f916a6_infocdn__2bu6aeylgxqgoxzk0cw15cwmsd3ff8vbwsoan2lxjpg,[]
Oficina en arriendo,"$ 2,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,BRIKSS SAS,1 Ambiente 1 Baño28 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/db1058b1-8d28-4d71-a8c6-30c7ae255e2e/photos/db1058b1-8d28-4d71-a8c6-30c7ae255e2e_1_True_62c90680-220e-43df-9af1-5b981a89cdfc.jpg,[]
Oficina en  Arriendo,"$ 5,800,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños222 m²,https://cdn2.infocasas.com.uy/repo/img/66ec347bcd409_infocdn__0eef2616-a764-4f1f-a3b1-f94983178491,[]
Bodega en  Arriendo,"$ 60,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INTERNATIONAL BROKERS COLOMBIA SAS,1900 m²,https://cdn2.infocasas.com.uy/repo/img/66d734fd212ae_infocdn__frwojv8vesrvtcyzje4tzzbnqmrlpz2yobg4597ajpg.jpg,[]
Bodega en  Arriendo,"$ 10,028,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,180 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc57835e79_infocdn__aa175d62-3953-462e-9663-ea71d0d2a93d,[]
Oficina en  Arriendo,"$ 6,733,200",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños217 m²,https://cdn2.infocasas.com.uy/repo/img/66f17adfa74f0_infocdn__6f7c7699-f3d6-455b-a097-1b7a3bec5627,[]
Bodega en  Arriendo,"$ 125,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,4 Baños5052 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc2099f7f8_infocdn__7f1316c5-019d-4bc1-ad02-7e645ba8d0af,[]
Bodega en  Arriendo,"$ 16,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,1 Baño480 m²,https://cdn2.infocasas.com.uy/repo/img/6704117f5709b_infocdn__0fe73b39-cee9-42db-87dd-ce595261a721,[]
Oficina en arriendo,"$ 42,560,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PADS,2128 m²,https://cdn2.infocasas.com.uy/repo/img/66f2ac2f796fc_infocdn__eyjidwnrzxqioijwywrzlwltywdlcyisimtlesi6imfmmjbhntbmltc2yjctnde1ys1iztg5lwjjowvhyjrmytu3ni5qcgcilcjlzgl0cyi6eyjyzxnpemuionsid2lkdggiojeyotasimzpdci6imluc2lkzsj9lcj0b0zvcm1hdci6impwzwcifx0=.jpeg,[]
